,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__cat__imputer,param_columntransformer__num__imputer,param_columntransformer__num__scaler,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
152,0.022790145874023438,0.0013293718700727875,0.007955312728881836,0.0016577469466083625,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,entropy,11,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 11, 'decisiontreeclassifier__splitter': 'best'}",0.6739130434782609,0.8768115942028986,0.8623188405797102,0.7391304347826086,0.8405797101449275,0.7985507246376813,0.0787691492272533,95
44,0.0191896915435791,0.0007105082406427232,0.008117485046386718,0.0005224594094324271,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,gini,7,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 7, 'decisiontreeclassifier__splitter': 'best'}",0.6594202898550725,0.8913043478260869,0.8695652173913043,0.7028985507246377,0.8695652173913043,0.7985507246376812,0.09715551166431516,98
111,0.021545267105102538,0.00014308075598429686,0.007466697692871093,0.0003352961981381633,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,entropy,10,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 10, 'decisiontreeclassifier__splitter': 'random'}",0.6521739130434783,0.9130434782608695,0.8623188405797102,0.7318840579710145,0.8333333333333334,0.7985507246376812,0.09408018763546366,98
74,0.020437860488891603,0.002506079495171919,0.008440303802490234,0.0012832396642561614,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,entropy,12,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.6956521739130435,0.8840579710144928,0.8260869565217391,0.7463768115942029,0.8333333333333334,0.7971014492753624,0.06720013402533122,100
122,0.021616744995117187,0.0007363969067432074,0.007050085067749024,0.00020722535350670027,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,gini,6,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__splitter': 'best'}",0.644927536231884,0.8985507246376812,0.8333333333333334,0.7246376811594203,0.8840579710144928,0.7971014492753623,0.09754387635051502,101
159,0.019604015350341796,0.0005835089524063802,0.005041074752807617,0.0010479963729354085,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,entropy,14,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 14, 'decisiontreeclassifier__splitter': 'random'}",0.6014492753623188,0.8985507246376812,0.8768115942028986,0.7028985507246377,0.9057971014492754,0.7971014492753623,0.12297509238026913,101
46,0.02492666244506836,0.008617822755567025,0.008236312866210937,0.0007046177300449449,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,gini,8,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 8, 'decisiontreeclassifier__splitter': 'best'}",0.644927536231884,0.8768115942028986,0.8985507246376812,0.7028985507246377,0.8623188405797102,0.7971014492753623,0.10288834405390637,101
89,0.021953248977661134,0.0010823766724769313,0.0074119091033935545,0.00041403634529018084,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,gini,9,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 9, 'decisiontreeclassifier__splitter': 'random'}",0.644927536231884,0.8913043478260869,0.8188405797101449,0.7681159420289855,0.8623188405797102,0.7971014492753623,0.0867146394298643,101
14,0.01863574981689453,0.0008876024310841616,0.007959604263305664,0.00032386378206025675,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,gini,12,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.6304347826086957,0.855072463768116,0.8913043478260869,0.7463768115942029,0.855072463768116,0.7956521739130435,0.09584959863064609,105
94,0.02264714241027832,0.0008998960496165671,0.007033061981201172,0.0001393762794328439,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,gini,12,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.644927536231884,0.855072463768116,0.855072463768116,0.7463768115942029,0.8768115942028986,0.7956521739130435,0.08808447187839273,105
