,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,29.546888017654418,0.2299626302956572,2.351743221282959,0.029493456977290916,True,balanced_subsample,10,auto,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
60,29.63541684150696,0.2755111373681142,2.3492501735687257,0.06876256864703247,True,balanced_subsample,10,auto,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
88,31.041213274002075,0.2770572146534298,2.3711524486541746,0.0689618837317735,True,balanced_subsample,20,sqrt,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
53,24.228582239151002,0.39376795937257236,2.694635009765625,0.2711632497894854,True,balanced,,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
107,29.80071840286255,0.17436381340776902,2.4313730239868163,0.028550764143490497,True,balanced_subsample,,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
52,23.632089281082152,0.12248275211012014,2.420307683944702,0.24477366023640257,True,balanced,,sqrt,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
42,23.418932580947875,0.22425447751206495,2.3008096694946287,0.06972209000289033,True,balanced,,auto,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
43,23.177255392074585,0.3110441734216034,2.3740219593048097,0.02244712581593391,True,balanced,,auto,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
44,23.555737018585205,0.3245008229128882,2.3578644752502442,0.07746289014895973,True,balanced,,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
51,23.427851915359497,0.29575898146513246,2.3529428482055663,0.01228687703032212,True,balanced,,sqrt,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
89,29.72254161834717,0.17769230065609934,2.444995069503784,0.006936084102366251,True,balanced_subsample,20,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
59,29.290945720672607,0.2537582064670048,2.395625877380371,0.01888933775133794,True,balanced_subsample,10,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
50,23.60942621231079,0.2646252388265646,2.340304946899414,0.07972303575032745,True,balanced,,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
23,22.92112488746643,0.19060972937557313,2.2981388568878174,0.1004341887599398,True,balanced,20,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
68,30.583649110794067,0.8763863760213153,2.3518741607666014,0.05876297648342518,True,balanced_subsample,10,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
86,29.2824049949646,0.16230901633725914,2.386286163330078,0.06080455962064176,True,balanced_subsample,20,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
77,29.635741853713988,0.210111284523096,2.3406336307525635,0.0812240835069172,True,balanced_subsample,20,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
5,22.26243872642517,0.19728817555231162,2.378440284729004,0.022998566666256746,True,balanced,10,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
32,23.098620080947875,0.2820429413421962,2.4073630809783935,0.025815800193857593,True,balanced,20,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
104,30.046782112121583,0.2639767277448771,2.416236639022827,0.017875085513448172,True,balanced_subsample,,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
41,23.634044122695922,0.5136858043761277,2.360660123825073,0.05991269114934948,True,balanced,,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
14,23.719538116455077,0.5052186524611405,2.329558753967285,0.02162420982197228,True,balanced,10,sqrt,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
95,29.91149492263794,0.27321068648931357,2.401602602005005,0.04752333914308363,True,balanced_subsample,,auto,2,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10000}",0.9473684210526315,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9578947368421054,0.030588764516074913,205
